,Pickup_longitude,Pickup_latitude,size,label
455,-73.9272173127,40.7596287514,804.0,8.0
456,-73.9319437105,40.7597306134,219.0,9.0
457,-73.9013519287,40.7508955383,450.0,10.0
458,-73.9187549023,40.7557227358,282.0,11.0
459,-73.9211918388,40.7530341561,381.0,12.0
460,-73.9139604813,40.7597841116,234.0,13.0
461,-73.9333113485,40.7583043113,201.0,14.0
462,-73.9358638076,40.7544890232,183.0,15.0
463,-73.949069519,40.7539343262,150.0,16.0
464,-73.884734561,40.7556665864,22746.0,0.0
465,-73.8556842761,40.7516293818,2646.0,1.0
466,-73.874130794,40.7514507369,11256.0,2.0
467,-73.8621264507,40.7501293359,2139.0,3.0
468,-73.8907915556,40.7587837219,195.0,4.0
469,-73.866124957,40.7576155038,1146.0,5.0
470,-73.8745413006,40.7585372205,318.0,6.0
471,-73.8632110827,40.7577822714,396.0,7.0
472,-73.8702143701,40.7572034977,1179.0,8.0
473,-73.8861284954,40.75932954,246.0,9.0
474,-73.8650398452,40.753114473,579.0,10.0
475,-73.8588168647,40.7507816745,1116.0,11.0
476,-73.8993177776,40.7501489663,237.0,12.0
477,-73.8611427395,40.7578491123,522.0,13.0
478,-73.8595745087,40.7522553762,180.0,14.0
479,-73.8850330625,40.753643104,168.0,15.0
480,-73.8302481613,40.7595256944,31203.0,0.0
481,-73.8342212925,40.7577981242,7323.0,1.0
482,-73.8459064091,40.7546110064,321.0,2.0
483,-73.8162370907,40.755299804,279.0,3.0
